<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190304,000000,3786.9300000,3804.9900000,3672.3900000,3700.7200000,8010
20190305,000000,3700.0200000,3876.6500000,3692.3600000,3844.5900000,9144
20190306,000000,3844.5900000,3894.7000000,3812.0000000,3851.8900000,6604
20190307,000000,3851.8900000,3891.0000000,3830.7900000,3857.0500000,6972
20190308,000000,3857.0400000,3910.8800000,3771.0000000,3843.1200000,7695
20190309,000000,3842.6200000,3947.3300000,3834.5900000,3917.0000000,5536
20190310,000000,3917.0000000,3917.0000000,3867.8400000,3900.9200000,3342
20190311,000000,3900.9300000,3911.8300000,3817.0100000,3849.6800000,5875
20190312,000000,3849.6700000,3875.3300000,3796.7100000,3860.0000000,6609
20190313,000000,3860.0000000,3871.0200000,3827.5000000,3851.0200000,5464
20190314,000000,3851.0200000,3900.0000000,3779.2800000,3853.9500000,7614
20190315,000000,3853.9500000,3910.0000000,3846.7900000,3902.8000000,6447
20190316,000000,3902.8000000,4037.4700000,3900.8900000,3990.0000000,6576
20190317,000000,3990.0000000,3991.0000000,3936.3000000,3967.0100000,3222
20190318,000000,3967.0100000,4015.7000000,3937.6900000,3970.5000000,5298
20190319,000000,3969.6800000,4009.6100000,3952.0800000,4000.8500000,5551
20190320,000000,4000.8500000,4044.8200000,3965.4300000,4031.8500000,6610
20190321,000000,4032.6800000,4056.3300000,3915.1400000,3972.7600000,9044
20190322,000000,3972.7600000,3998.0100000,3961.7000000,3983.7800000,4899
20190323,000000,3983.7700000,3997.0100000,3960.2500000,3983.4300000,3907
20190324,000000,3982.4500000,3982.4500000,3946.0000000,3969.5200000,2483
20190325,000000,3969.5200000,3976.4700000,3858.0000000,3907.5300000,5996
20190326,000000,3907.5400000,3923.9000000,3880.6400000,3921.4500000,4003
20190327,000000,3922.4100000,4035.8000000,3914.9000000,4026.5300000,6498
20190328,000000,4026.5400000,4026.5400000,3994.0000000,4011.1700000,4607
20190329,000000,4011.9800000,4101.5000000,4007.7800000,4091.0100000,9699
20190330,000000,4091.0100000,4131.8700000,4042.5100000,4094.1400000,5081
20190331,000000,4094.1400000,4103.0000000,4077.0100000,4094.9900000,2825
20190401,000000,4095.0000000,4149.5000000,4051.5300000,4137.0000000,7553
20190402,000000,4137.0100000,5121.0000000,4132.0200000,4901.9300000,36541
20190403,000000,4901.9200000,5345.0000000,4787.1100000,4975.9700000,33136
20190404,000000,4975.1300000,5071.3400000,4778.0000000,4906.4900000,15899
20190405,000000,4907.9200000,5066.5900000,4887.3400000,5040.6600000,11433
20190406,000000,5040.9500000,5244.0400000,4925.0000000,5049.2200000,11683
20190407,000000,5049.1800000,5270.3300000,5029.7000000,5194.7900000,7899
20190408,000000,5194.7600000,5352.5000000,5132.2800000,5285.5400000,14777
20190409,000000,5286.8200000,5287.0000000,5145.0000000,5187.2100000,8831
20190410,000000,5187.2100000,5488.0000000,5164.4900000,5318.5800000,16303
20190411,000000,5322.0200000,5342.7400000,4967.2400000,5041.3000000,16057
20190412,000000,5040.1100000,5118.5600000,4901.9900000,5078.1900000,9709
20190413,000000,5078.1900000,5123.2800000,5036.7400000,5066.2200000,4111
20190414,000000,5065.0200000,5191.1900000,5013.8100000,5164.2700000,3425
20190415,000000,5163.8100000,5193.0100000,4945.5400000,5029.9900000,9679
20190416,000000,5029.9900000,5229.9700000,5016.4500000,5202.9000000,8338
20190417,000000,5201.2100000,5272.3200000,5173.1100000,5227.0000000,7087
20190418,000000,5227.0000000,5318.1800000,5222.2600000,5281.8100000,7895
20190419,000000,5280.5000000,5359.4700000,5196.7000000,5290.3600000,6108
20190420,000000,5290.3700000,5359.9800000,5260.2400000,5319.8900000,4594
20190421,000000,5319.9000000,5349.1600000,5213.3400000,5297.6400000,5539
20190422,000000,5297.6400000,5440.8400000,5250.4500000,5387.6000000,11783
20190423,000000,5387.6000000,5650.0100000,5361.0100000,5532.7500000,17630
20190424,000000,5532.7500000,5624.4700000,5374.0000000,5441.9000000,14881
20190425,000000,5440.5900000,5512.1200000,4967.0000000,5134.8100000,12037
20190426,000000,5134.8200000,5295.0300000,5041.1400000,5159.5100000,14029
20190427,000000,5159.5000000,5221.2400000,5117.4600000,5170.6000000,4037
20190428,000000,5171.9000000,5214.5000000,5101.0000000,5155.0000000,4686
20190429,000000,5155.0000000,5189.5400000,5072.0100000,5148.2500000,6984
20190430,000000,5148.2500000,5285.0000000,5126.2500000,5270.6900000,6899
20190501,000000,5270.6800000,5358.3900000,5265.6100000,5321.1500000,3649
20190502,000000,5321.1500000,5422.9900000,5306.0900000,5390.0100000,3979
20190503,000000,5390.0000000,5796.9300000,5363.0000000,5657.4000000,11171
20190504,000000,5657.4100000,5846.8800000,5512.0000000,5770.0100000,5318
20190505,000000,5770.0100000,5782.2200000,5627.3500000,5715.8600000,2881
20190506,000000,5715.8600000,5753.6600000,5564.9300000,5687.9000000,4648
20190507,000000,5687.9000000,5974.5100000,5687.9000000,5748.4500000,7825
20190508,000000,5748.4700000,5990.0000000,5656.2600000,5948.4100000,7507
20190509,000000,5947.0000000,6171.1000000,5934.4900000,6153.0900000,8761
20190510,000000,6153.0900000,6430.0000000,6108.8100000,6343.1400000,9596
20190511,000000,6342.9900000,7464.1300000,6342.9800000,7219.9500000,19977
20190512,000000,7215.0100000,7581.8200000,6755.0000000,6979.7600000,20788
