                                                                                      support  length  time
((0, (3,)), (3, (4,)), (8, (4,)), (25, (3,)))                                              45       4     1
((1, (3,)), (10, (3,)), (16, (3,)), (21, (4,)))                                            45       4     1
((7, (3,)), (10, (2,)), (17, (3,)), (24, (2,)))                                            45       4     1
((0, (4,)), (17, (2,)))                                                                    44       2     1
((12, (4,)), (18, (3,)), (21, (3,)), (26, (3,)))                                           44       4     1
((2, (4,)), (4, (4,)), (10, (3,)))                                                         44       3     1
((7, (2,)), (20, (3, 4)), (27, (3,)))                                                      44       4     2
((14, (2,)), (21, (2,)), (22, (2,)))                                                       44       3     1
((8, (4,)), (23, (2,)), (25, (3,)))                                                        44       3     1
((1, (4,)), (20, (2,)))                                                                    43       2     1
((8, (3,)), (14, (3,)), (22, (3,)), (25, (2,)))                                            43       4     1
((6, (3, 2)), (9, (4,)))                                                                   43       3     2
((21, (1,)),)                                                                              43       1     1
((8, (3,)), (13, (2,)), (23, (2,)), (27, (2,)))                                            43       4     1
((0, (4,)), (3, (4,)), (8, (4,)), (25, (3,)))                                              43       4     1
((24, (5,)),)                                                                              43       1     1
((10, (5,)),)                                                                              43       1     1
((1, (3,)), (7, (2,)), (15, (3,)), (20, (4,)))                                             43       4     1
